Benchmark,Native,Wasmedge,Wasmer,Wasmtime
averageVector_float,0.367853042375763,0.36293455415171355,0.2554429420202492,0.30312418916870437
averageVector_int,0.39352072952298267,0.26623619539530813,0.25995419368836997,0.2997292819318439
mandelbrot,0.5460256364180187,0.5373217014993421,0.4380060463312797,0.4598041056140267
multiplyMatrices_float,135.48661093642747,49.337679423429314,24.949658683235143,35.31089408247292
multiplyMatrices_int,129.4344198988474,49.352914844709225,19.903450673776906,45.43696348017776
normalizeVector_float,0.3843650022131833,0.632821318915385,0.34113742655911383,0.5711666132759331
normalizeVector_int,0.4852270458565201,0.5250700945702236,0.48865409186065456,0.476478916709428
transposeMatrix_float,15.93791341386222,10.697510400497388,6.152021156249651,12.08567822476449
transposeMatrix_int,17.54400901052916,12.49186837320084,6.916116623253478,12.250839145958613
vectorAddition_float,0.4672696315231658,0.6476267801296621,0.524916694493335,0.6031050397119562
vectorAddition_int,0.5128519364258808,0.45742692225083914,0.48717009848423903,0.5485394561780133
vectorDotProduct_float,0.4777873225925875,0.4880296755420918,0.28561462190148795,0.3516753692524446
vectorDotProduct_int,0.5690139007890591,0.40559355921582013,0.2961788680497782,0.33368180409616083
